,city,lat,lng,max_temp,humidity,cloudiness,windspeed
102,Tuatapere,-46.1333,167.6833,13.33,62,8,2.24
103,Conde,-7.2597,-34.9075,24.0,100,40,1.54
104,Cabedelo,-6.9811,-34.8339,24.0,100,40,1.54
105,Prince Rupert,54.3161,-130.3201,4.0,86,75,1.03
106,Smithers,54.7804,-127.1743,-6.0,79,1,1.03
107,Koumac,-20.5667,164.2833,25.26,75,73,4.62
108,Sedalia,38.7045,-93.2283,14.44,88,90,3.6
109,Souillac,-20.5167,57.5167,29.0,58,40,5.66
110,Upernavik,72.7868,-56.1549,-13.5,83,78,1.6
111,Vanimo,-2.6741,141.3028,29.09,68,84,4.29
112,Angermünde,53.015,13.9992,2.78,76,100,2.24
113,Port Hardy,50.6996,-127.4199,6.0,93,1,2.06
114,Bengbu,32.9408,117.3608,8.42,91,100,2.22
115,Poum,-20.2333,164.0167,26.56,68,59,3.99
116,Atambua,-9.1061,124.8925,26.46,81,79,0.63
117,Cap Malheureux,-19.9842,57.6142,29.44,58,5,4.47
118,High Rock,26.6208,-78.2833,19.0,77,75,3.6
119,Yar-Sale,66.8333,70.8333,-31.28,84,0,3.85
120,Nova Olinda do Norte,-3.8881,-59.0942,22.44,98,100,0.51
121,Menzel Salem,35.8567,8.4765,0.0,93,20,1.03
122,Saint-Louis,16.3333,-15.0,18.0,39,0,1.03
123,Arklow,52.7931,-6.1414,5.56,84,100,3.13
124,Karangampel,-6.4622,108.4519,29.28,69,29,6.39
125,Gravdal,68.1214,13.5031,-1.0,59,40,7.72
126,Manado,1.487,124.8455,25.0,94,40,0.51
127,Richards Bay,-28.783,32.0377,25.21,67,0,1.55
128,Port Lincoln,-34.7333,135.8667,21.46,62,82,4.14
129,Severo-Kuril'sk,50.6789,156.125,-0.19,97,93,1.62
130,Giohar,2.7809,45.5005,29.82,51,57,5.58
131,Saint George,37.1041,-113.5841,5.56,87,90,3.09
132,Ancud,-41.8697,-73.8203,10.56,100,40,3.6
133,Kosh-Agach,50.0,88.6667,-3.34,82,100,1.08
134,Sály,47.95,20.6667,-0.44,83,0,1.12
135,Kyzyl-Suu,42.3414,78.0056,3.89,73,73,0.91
136,Broken Hill,-31.95,141.4333,29.0,34,12,4.12
137,Saint Paul Harbor,57.79,-152.4072,-2.0,43,1,11.83
138,Kruisfontein,-34.0033,24.7314,17.22,94,100,5.1
139,Sørland,67.667,12.6934,-1.0,59,40,7.72
140,Iquique,-20.2208,-70.1431,22.0,64,0,3.6
141,High Level,58.5169,-117.136,-22.0,92,1,1.03
142,Hilo,19.7297,-155.09,22.0,88,1,1.54
143,Thai Binh,20.45,106.3333,26.0,73,20,2.57
144,Negombo,7.2083,79.8358,29.0,65,40,3.09
145,Chazuta,-6.5742,-76.1367,21.46,84,0,0.59
146,Arica,-18.475,-70.3042,21.0,73,0,0.6
147,Smirnykh,49.75,142.8333,-1.1,92,79,3.22
148,Nemenčinė,54.85,25.4833,-5.0,68,0,3.09
149,Evensk,61.95,159.2333,-23.29,86,18,1.96
150,Ponta do Sol,32.6667,-17.1,13.33,70,33,0.89
151,Bereket,39.2446,55.5154,10.15,55,38,7.19
152,Nikolskoye,59.7035,30.7861,-12.22,66,0,5.0
153,Tommot,58.9564,126.2925,-6.53,92,100,5.13
154,Billings Metropolitan Area,45.7833,-108.5007,1.0,51,1,1.54
155,Yegros,-26.45,-56.4,15.82,69,0,1.24
156,Sinnamary,5.3833,-52.95,25.0,87,99,5.7
157,Clyde River,70.4692,-68.5914,-22.0,77,90,5.14
158,Chokurdakh,70.6333,147.9167,-25.16,87,96,3.51
159,Pāndoh,31.6833,77.05,22.0,23,63,1.42
160,Hailar,49.2,119.7,-1.74,91,52,3.27
161,Flinders,-34.5833,150.8552,24.44,74,62,1.79
162,Beloha,-25.1667,45.05,29.37,56,0,3.59
163,Baruun-Urt,46.6806,113.2792,0.59,85,56,4.07
164,Khatanga,71.9667,102.5,-25.33,88,100,10.42
165,Hithadhoo,-0.6,73.0833,27.23,74,92,3.06
166,Kirakira,-10.4544,161.9205,28.36,76,98,2.41
167,Vikhorevka,56.1201,101.1636,-1.0,51,99,4.0
168,Cabo San Lucas,22.8909,-109.9124,18.89,69,78,0.89
169,Tessalit,20.1986,1.0114,15.74,31,4,3.03
170,Bambous Virieux,-20.3428,57.7575,29.44,58,40,5.66
171,Lapua,62.9693,23.0088,-11.67,79,100,1.79
172,Barcelos,41.5388,-8.6151,12.0,100,90,2.57
173,Fare,-16.7,-151.0167,27.88,77,4,5.7
174,Pacifica,37.6138,-122.4869,7.78,87,90,1.54
175,Heide,54.2,9.1,6.67,94,100,2.24
176,Arona,28.0996,-16.681,17.0,59,20,5.66
177,Los Llanos de Aridane,28.6585,-17.9182,18.0,59,90,5.66
178,Ikalamavony,-21.15,46.5833,23.4,70,11,1.7
179,Broome,42.2506,-75.833,7.0,65,1,4.12
180,Faanui,-16.4833,-151.75,27.95,75,76,4.86
181,Omboué,-1.5746,9.2618,25.83,89,99,2.43
182,Antofagasta,-23.65,-70.4,19.0,82,40,1.54
183,Barra de Tecoanapa,16.5167,-98.75,23.19,81,0,1.38
184,Noshiro,40.2039,140.0242,6.0,65,75,5.66
185,Artvin Province,41.1667,41.8333,11.0,66,75,7.72
186,Vila Franca do Campo,37.7167,-25.4333,16.0,88,75,7.2
187,Mujiayingzi,42.1167,118.7833,6.22,60,87,3.17
188,Lakatoro,-16.0999,167.4164,27.8,72,32,4.93
189,Medianeira,-25.2953,-54.0939,18.0,94,0,1.03
190,Opuwo,-18.0607,13.84,23.72,35,46,2.08
191,Chui,-33.6971,-53.4616,16.49,87,0,0.88
192,Lake Havasu City,34.4839,-114.3224,13.0,38,90,2.57
193,Tutóia,-2.7619,-42.2744,25.18,89,100,2.82
194,Leningradskiy,69.3833,178.4167,-26.09,74,0,2.25
195,Goderich,43.7501,-81.7165,16.0,44,100,10.8
196,São João da Barra,-21.6403,-41.0511,22.98,90,100,3.61
197,Saldanha,-33.0117,17.9442,17.0,83,75,5.14
198,Chiredzi,-21.05,31.6667,24.03,71,0,0.84
199,São Cristóvão,-11.0147,-37.2064,27.0,74,40,3.6
200,Hong Kong,22.2855,114.1577,27.0,54,40,6.69
201,Haines Junction,60.7522,-137.5108,-2.0,64,50,3.09
202,Lethem,3.3803,-59.7968,25.25,71,92,5.52
203,Sinegor'ye,62.0788,150.477,-16.13,87,99,1.18
204,Labuhan,-6.8844,112.2051,28.89,74,94,5.47
205,Sayyan,15.1718,44.3244,16.62,25,0,2.68
206,Ucluelet,48.9329,-125.5528,2.78,88,0,2.85
207,Nantucket,41.2835,-70.0995,3.89,86,37,7.68
208,Airai,-8.9266,125.4092,20.29,100,82,0.43
209,Bilma,18.6853,12.9164,24.11,16,14,2.66
210,Burnie,-41.0667,145.9167,20.56,61,31,3.58
211,Barabinsk,55.3571,78.357,-7.81,95,99,8.36
212,Lovozero,68.005,35.0117,-15.73,77,35,2.26
213,Mount Isa,-20.7333,139.5,29.0,61,40,2.06
214,Lüderitz,-26.6481,15.1594,19.79,72,0,3.54
215,Keti Bandar,24.1447,67.4497,27.13,57,0,6.17
216,Macheng,31.1783,115.0319,13.89,75,100,1.73
217,Marawi,7.9986,124.2928,26.11,88,99,1.34
218,Husavik,66.0449,-17.3389,0.0,80,90,8.75
219,Hackettstown,40.854,-74.8291,5.56,93,95,0.9
220,Norman Wells,65.282,-126.8329,-10.0,67,75,6.17
221,Half Moon Bay,37.4636,-122.4286,8.33,87,90,1.54
222,Barreirinhas,-2.7469,-42.8264,24.18,92,100,1.53
223,Bahía Honda,22.9036,-83.1592,20.19,73,0,5.17
224,Marystown,47.1666,-55.1483,-1.38,95,6,6.68
225,Pimampiro,0.4,-77.9667,15.32,73,100,1.15
226,Lompoc,34.6391,-120.4579,6.0,87,1,1.54
227,Constitución,-35.3333,-72.4167,15.04,88,67,3.48
228,Sarakhs,36.5449,61.1577,13.0,54,0,4.12
229,Alofi,-19.0595,-169.9187,25.0,73,73,1.03
230,Oruro,-17.9833,-67.15,7.12,67,6,2.66
231,Ribeira Grande,38.5167,-28.7,14.32,81,100,8.81
232,Chardara,41.2547,67.9692,9.5,56,7,0.89
233,Praia da Vitória,38.7333,-27.0667,13.33,100,90,5.83
234,Campbellsville,37.3434,-85.3419,17.0,42,1,6.69
235,Balikpapan,-1.2675,116.8289,31.0,66,20,2.06
236,Bereda,43.2686,-7.5406,11.67,95,100,4.92
237,Uddevalla,58.3478,11.9424,0.56,93,90,10.8
238,Bozüyük,39.9078,30.0367,7.0,93,90,5.14
239,Khovu-Aksy,51.1333,93.6,-2.79,92,73,2.37
240,Bengkulu,-3.8004,102.2655,29.2,69,24,4.22
241,Santa Isabel Rio Negro,-0.4139,-65.0192,21.76,98,100,0.63
242,Wonosobo,-7.36,109.9025,32.0,58,20,7.72
243,Venice,27.0998,-82.4543,16.67,82,1,4.63
244,Brønnøysund,65.4625,12.1997,0.0,64,75,16.98
245,Cayenne,4.9333,-52.3333,26.67,94,90,1.54
246,Berasia,23.6333,77.4333,32.0,22,40,2.06
247,São Filipe,14.8961,-24.4956,20.09,76,100,4.25
248,Avera,33.194,-82.5271,12.0,82,1,2.57
249,Acapulco de Juárez,16.8634,-99.8901,23.69,71,0,1.3
250,Fes,34.0372,-4.9998,3.0,87,0,2.06
251,Port Hedland,-20.3167,118.5667,32.0,70,1,6.17
252,Shenzhen,22.5455,114.0683,26.11,74,49,1.41
253,Provideniya,64.3833,-173.3,-24.0,70,0,2.0
254,Havre-St-Pierre,50.2334,-63.5986,1.0,75,90,5.66
255,Belmonte,-15.8631,-38.8828,22.0,88,0,1.54
256,Abu Samrah,35.3029,37.1841,13.64,63,92,3.97
257,Barra do Bugres,-15.0725,-57.1811,21.17,96,99,1.4
258,Torbay,47.6666,-52.7314,-2.22,93,20,10.29
259,Codrington,-38.2667,141.9667,19.3,67,58,4.8
260,Wajima,37.4,136.9,11.0,54,0,2.06
261,Lucapa,-8.4192,20.7447,20.16,89,37,1.47
262,Leh,34.1667,77.5833,-2.09,66,44,1.25
263,Matagami,49.7502,-77.6328,-6.0,93,90,4.12
264,Maceió,-9.6658,-35.7353,23.0,94,0,1.54
265,Margate,51.3813,1.3862,10.56,65,69,5.36
266,Nanortalik,60.1432,-45.2371,-4.46,94,95,7.56
267,San Cristobal,7.7669,-72.225,18.54,85,77,1.19
268,Praia,14.9215,-23.5087,19.0,72,20,9.26
269,Leshukonskoye,64.8989,45.7622,-13.59,93,52,3.84
270,North Platte,41.1239,-100.7654,-4.0,80,1,1.54
271,Geraldton,-28.7667,114.6,29.0,61,52,8.75
272,Bonavista,48.6499,-53.1147,-2.78,86,33,4.12
273,Kerman,30.2832,57.0788,13.0,26,0,2.06
274,Beringovskiy,63.05,179.3167,-23.02,81,10,0.47
275,Arti,56.4234,58.5328,-21.3,89,100,4.69
276,Kutum,14.2,24.6667,22.31,18,0,2.07
277,Canutama,-6.5339,-64.3831,21.97,98,100,0.95
278,Shelburne,44.0787,-80.2041,12.22,63,99,9.88
279,Eucaliptus,-17.5833,-67.5167,6.28,75,0,1.76
280,Luganville,-15.5333,167.1667,27.44,74,60,3.53
281,Ilhabela,-23.7781,-45.3581,22.4,84,22,0.92
282,Severobaykal'sk,55.65,109.3167,-4.92,92,25,1.13
283,Kaniama,-7.5667,24.1833,20.53,87,95,1.69
284,Tourlaville,49.6383,-1.5664,10.0,76,75,13.89
285,São José,-28.2333,-49.1667,15.68,92,53,1.17
286,Hasaki,35.7333,140.8333,15.56,47,20,5.14
287,Taltal,-25.4,-70.4833,18.47,80,38,1.0
288,Nola,40.922,14.5329,5.0,70,0,2.57
289,Andradina,-20.8961,-51.3794,20.77,89,24,1.51
290,Santa Cruz de La Palma,28.6835,-17.7642,18.0,59,90,5.66
291,Lata,40.1629,-8.3327,12.78,90,100,0.87
292,Baní,18.2833,-70.3333,22.22,86,16,2.24
293,George Town,5.4112,100.3354,33.89,58,20,4.63
294,Conchas,-23.0153,-48.0106,18.44,93,0,1.03
295,Cranbourne,-38.1,145.2833,24.44,63,96,1.34
296,Liverpool,53.4106,-2.9779,10.0,87,90,17.49
297,Paamiut,61.994,-49.6678,-6.56,95,100,4.21
298,Flin Flon,54.7682,-101.865,-16.86,92,84,2.74
299,Pisco,-13.7,-76.2167,22.78,83,50,2.06
300,Sitka,57.0531,-135.33,4.0,70,90,6.69
301,Mosquera,4.7059,-74.2302,12.0,94,40,1.54
302,Dawson Creek,55.7666,-120.2362,-11.0,62,1,2.06
303,Bandi̇̄pur,27.9333,84.4167,29.4,14,0,2.61
304,Tual,-5.6667,132.75,28.7,71,63,3.48
305,Imbituba,-28.24,-48.6703,20.0,94,20,2.57
306,Pontianak,-0.0333,109.3333,33.0,52,75,1.75
307,Mindelo,16.8901,-24.9804,20.0,64,75,14.4
308,Mitsamiouli,-11.3847,43.2844,28.0,78,20,1.54
309,Abū Zabad,12.35,29.25,28.11,15,26,5.98
310,Oriximiná,-1.7656,-55.8661,22.69,95,96,1.38
